family_id	family_number	n_spans	newick
family_040	40	13	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,((((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_041	41	13	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_042	42	13	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_043	43	13	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,((11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_044	44	13	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,((11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_045	45	13	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(11,((((12,13,14,15)12-15,16,17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_046	46	13	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(11,(((12,13,14,(15,16,17)15-17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_047	47	12	(1,2,(3,(4,(5,6,((((((7,8)7-8,9,(10,(11,12)11-12)10-12,13,14,15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_048	48	12	(1,2,(3,(4,(5,6,(((7,8)7-8,9,((10,(11,12)11-12)10-12,13,14,(15,16,17)15-17,18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_049	49	12	(1,2,(3,(4,(5,6,(((7,8)7-8,9,(10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_050	50	12	(1,2,(3,(4,(5,6,(((7,8)7-8,9,(10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_051	51	12	(1,2,(3,(4,(5,6,(((7,8)7-8,9,(10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
