tree_number	newick	group_spans	group_convergence
38	(1,(2,(3,4,((((5,6)5-6,7,8,(9,((((10,11,12,13)10-13,14,15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-6;9-18;10-18;10-17;10-16;10-13	5;2;4;5;1;2;1;2;2;6;1;1
39	(1,(2,(3,4,((((5,6)5-6,7,8,(9,(((10,11,12,(13,14,15)13-15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-6;9-18;10-18;10-17;10-16;13-15	5;2;4;5;1;2;1;2;2;6;1;1
40	(1,(2,(3,4,(((5,(6,7,8)6-8,((((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;6-8;9-18;9-17;9-16;9-10;13-15	5;2;4;5;1;2;3;2;5;1;1;1
41	(1,(2,(3,4,(((5,(6,7,8)6-8,(((9,((10,11,12,13)10-13,14,15,16)10-16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;6-8;9-18;9-17;9-16;10-16;10-13	5;2;4;5;1;2;3;2;5;1;1;1
42	(1,(2,(3,4,(((5,(6,7,8)6-8,(((9,(10,11,12,(13,14,15)13-15,16)10-16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;6-8;9-18;9-17;9-16;10-16;13-15	5;2;4;5;1;2;3;2;5;1;1;1
43	(1,(2,(3,4,(((5,(6,7,8)6-8,((9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;6-8;9-18;9-17;10-17;10-16;10-13	5;2;4;5;1;2;3;2;5;6;1;1
44	(1,(2,(3,4,(((5,(6,7,8)6-8,((9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;6-8;9-18;9-17;10-17;10-16;13-15	5;2;4;5;1;2;3;2;5;6;1;1
45	(1,(2,(3,4,(((5,(6,7,8)6-8,(9,((((10,11,12,13)10-13,14,15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;6-8;9-18;10-18;10-17;10-16;10-13	5;2;4;5;1;2;3;2;2;6;1;1
46	(1,(2,(3,4,(((5,(6,7,8)6-8,(9,(((10,11,12,(13,14,15)13-15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;6-8;9-18;10-18;10-17;10-16;13-15	5;2;4;5;1;2;3;2;2;6;1;1
47	(1,(2,(3,4,((((((5,6)5-6,7,(8,(9,10)9-10)8-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;5-13;5-6;8-10;9-10	5;2;4;5;1;2;10;1;1;1;1
48	(1,(2,(3,4,(((5,6)5-6,7,((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-6;8-16;8-10;9-10;13-15;17-19	5;2;4;5;1;1;2;1;1;1;1
49	(1,(2,(3,4,(((5,6)5-6,7,(8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-6;8-16;9-16;9-10;13-15;17-19	5;2;4;5;1;1;2;1;1;1;1
50	(1,(2,(3,4,(((5,6)5-6,7,(8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-6;8-16;9-16;10-16;10-13;17-19	5;2;4;5;1;1;2;1;1;1;1
51	(1,(2,(3,4,(((5,6)5-6,7,(8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-6;8-16;9-16;10-16;13-15;17-19	5;2;4;5;1;1;2;1;1;1;1
52	(1,(2,(3,4,(((((5,((6,7,8)6-8,(9,10)9-10)6-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;5-13;6-10;6-8;9-10	5;2;4;5;1;2;10;1;3;3;1
53	(1,(2,(3,4,(((((5,(6,7,(8,(9,10)9-10)8-10)6-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;5-13;6-10;8-10;9-10	5;2;4;5;1;2;10;1;3;1;1
54	(1,(2,(3,4,((5,(((6,7,8)6-8,(9,10)9-10)6-10,11,12,(13,14,15)13-15,16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;6-10;6-8;9-10;13-15;17-19	5;2;4;5;1;7;3;3;1;1;1
55	(1,(2,(3,4,((5,((6,7,8)6-8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;6-8;9-16;9-10;13-15;17-19	5;2;4;5;1;7;3;1;1;1;1
56	(1,(2,(3,4,((5,((6,7,8)6-8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;6-8;9-16;10-16;10-13;17-19	5;2;4;5;1;7;3;1;1;1;1
57	(1,(2,(3,4,((5,((6,7,8)6-8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;6-16;6-8;9-16;10-16;13-15;17-19	5;2;4;5;1;7;3;1;1;1;1
