group	family_count	n
syntaxlike	29	156
syntaxlike	30	170
syntaxlike	31	158
syntaxlike	32	182
syntaxlike	33	178
syntaxlike	34	184
syntaxlike	35	165
syntaxlike	36	177
syntaxlike	37	145
syntaxlike	38	153
syntaxlike	39	136
syntaxlike	40	160
syntaxlike	41	130
syntaxlike	42	103
syntaxlike	43	106
syntaxlike	44	99
syntaxlike	45	103
syntaxlike	46	97
syntaxlike	47	73
syntaxlike	48	78
syntaxlike	49	63
syntaxlike	50	83
syntaxlike	51	63
syntaxlike	52	75
syntaxlike	53	48
syntaxlike	54	47
syntaxlike	55	42
syntaxlike	56	49
syntaxlike	57	38
syntaxlike	58	34
syntaxlike	59	27
syntaxlike	60	28
syntaxlike	61	21
syntaxlike	62	24
syntaxlike	63	25
syntaxlike	64	20
syntaxlike	65	20
syntaxlike	66	25
syntaxlike	67	14
syntaxlike	68	14
syntaxlike	69	7
syntaxlike	70	16
syntaxlike	71	14
syntaxlike	72	15
syntaxlike	73	4
syntaxlike	74	8
syntaxlike	75	4
syntaxlike	76	11
syntaxlike	77	5
syntaxlike	78	4
syntaxlike	79	2
syntaxlike	80	7
syntaxlike	81	3
syntaxlike	82	1
syntaxlike	83	2
syntaxlike	84	6
syntaxlike	85	1
syntaxlike	86	1
syntaxlike	88	2
syntaxlike	90	2
syntaxlike	91	1
syntaxlike	92	2
syntaxlike	93	2
syntaxlike	95	1
syntaxlike	96	1
syntaxlike	97	1
syntaxlike	98	1
syntaxlike	101	1
syntaxlike	102	4
syntaxlike	103	2
syntaxlike	104	1
syntaxlike	106	1
syntaxlike	111	1
syntaxlike	112	1
syntaxlike_notono	1	1
syntaxlike_notono	2	5
syntaxlike_notono	3	64
syntaxlike_notono	4	249
syntaxlike_notono	5	523
syntaxlike_notono	6	699
syntaxlike_notono	7	870
syntaxlike_notono	8	795
syntaxlike_notono	9	547
syntaxlike_notono	10	493
syntaxlike_notono	11	247
syntaxlike_notono	12	254
syntaxlike_notono	13	100
syntaxlike_notono	14	79
syntaxlike_notono	15	24
syntaxlike_notono	16	31
syntaxlike_notono	17	7
syntaxlike_notono	18	7
syntaxlike_notono	19	2
syntaxlike_notono	22	2
syntaxlike_notono	24	1
