Serial_Order	Analysis_Type	Language	ShortName	Glottocode	Planar_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Overlap_Verbal	Overlap_Verbal_Extended	Overlap_Nominal	Size	Relative_Size	Largest	Position_Total	PW_Pattern	Notes	Tests_Total	LexPhon_Name	Spanish_Name	Structure_Preserving	POS_Subcategorization	Obligatoriness	Exceptional	Categorical
176	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_nominal	dura0000_n_segmental_bimoraity.constraint_monomoraic	phonological	segmental	bimoraity.constraint	NA	monomoraic	7	8	3	0.16	17	NA	8	2	0.15	13	13	size-related	NA	19	minimality	Minimalidad monomoraico	y	y	y	n	y
177	lexphon	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_nominal	dura0000_n_segmental_deletion_fast.speech.reduction	phonological	segmental	deletion	NA	fast.speech.reduction	1	13	3	0.16	17	NA	8	13	1	13	13	deletion	NA	19	Fast.speech.reduction	Reducción habla rápido	n	n	n	y	n
178	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_nominal	dura0000_n_segmental_vowel.deletion_vowel.overwriting	phonological	segmental	vowel.deletion	NA	vowel.overwriting	8	11	2	0.11	17	NA	8	4	0.31	13	13	deletion	NA	19	vowel.overwriting	Supresión vocal	n	y	y	n	n
179	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_nominal	dura0000_n_suprasegmental_tone.dissimilation_low.tone.dissimilation	phonological	suprasegmental	tone.dissimilation	NA	low.tone.dissimilation	8	10	1	0.05	17	NA	8	3	0.23	13	13	tone	NA	19	low.tone.dissimilation	Disimilación tono bajo	y	y	y	n	y
180	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_nominal	dura0000_n_suprasegmental_tone.sandhi_tone.sandhi.dependent.pronouns	phonological	suprasegmental	tone.sandhi	NA	tone.sandhi.dependent.pronouns	8	11	2	0.11	17	NA	8	4	0.31	13	13	tone	NA	19	tone.sandhi.dep..pronouns	Sandhi tonal pronombres	n	y	y	y	y
201	lexphon	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_segmental_deletion_fast.speech.reduction	phonological	segmental	deletion	NA	fast.speech.reduction	1	28	1	0.04	17	NA	8	28	0.97	29	29	deletion	NA	27	Fast.speech.reduction	Reducción habla rápido	n	n	n	y	n
202	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_segmental_minimality_maximal_bimoraic	phonological	segmental	minimality	maximal	bimoraic	1	28	1	0.04	17	NA	8	28	0.97	29	29	size-related	NA	27	minimality	Minimalidad bimoraico	y	y	y	n	y
203	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_segmental_minimality_maximal_monomoraic.apart.from.verb.base	phonological	segmental	minimality	maximal	monomoraic.apart.from.verb.base	1	27	1	0.04	17	NA	8	27	0.93	29	29	size-relatead	NA	27	minimality	Minimalidad monomoraico	y	y	y	n	y
204	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_segmental_minimality_minimal_bimoraic	phonological	segmental	minimality	minimal	bimoraic	17	17	6	0.22	17	NA	8	1	0.03	29	29	size-related	NA	27	minimality	Minimalidad bimoraico	y	y	y	n	y
205	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_segmental_minimality_minimal_monomoraic.apart.from.verb.base	phonological	segmental	minimality	minimal	monomoraic.apart.from.verb.base	12	18	1	0.04	17	NA	8	7	0.24	29	29	size-related	NA	27	minimality	Minimalidad monomoraico	y	y	y	n	y
206	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_segmental_overwriting_minimal_vowel.overwriting.after.glottal.stop	phonological	segmental	overwriting	minimal	vowel.overwriting.after.glottal.stop	17	26	1	0.04	17	NA	8	10	0.34	29	29	vowel deletion	NA	27	overwriting	Supresión vocal	n	y	y	n	n
207	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_segmental_vowel.deletion_maximal_vowel.overwriting.after.glottal.stop	phonological	segmental	vowel.deletion	maximal	vowel.overwriting.after.glottal.stop	6	29	1	0.04	17	NA	8	24	0.83	29	29	deletion	NA	27	overwriting	Supresión vocal	n	y	y	n	n
208	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_verbal	dura0000_v_suprasegmental_tone.sandhi_dependent.pronouns	phonological	suprasegmental	tone.sandhi	NA	dependent.pronouns	17	27	1	0.04	17	NA	8	11	0.38	29	29	tone	NA	27	Tone.sandhi	Sandhi tonal	n	y	y	y	y
