Language_ID	Planar_Type	Position	Position_Type	Elements	Class_Size	Notes
mart1259	verbal	21	zone	Adverbial	NA	NA
mart1259	verbal	22	zone	NP, complement clauses	NA	NA
mart1259	verbal	23	zone	Adverbial	NA	NA
mart1259	verbal	24	slot	PP	NA	NA
mart1259	verbal	25	slot	Negative marker …ankò	NA	NA
mart1259	verbal	26	zone	Adverbial clauses	NA	NA
mart1259	verbal	27	zone	Sentence adverbs	NA	NA
cent2127	verbal	1	Zone	Nonverb (If nominal, Any grammatical function/Case; otherwise particle) [OPT]	NA	NA
cent2127	verbal	2	Slot	Verb core: Lexemic Verb Base or minimal Verb Base [OBLIG]	NA	NA
cent2127	verbal	3	Zone	VV Postbase [OPT]	NA	NA
cent2127	verbal	4	Slot	Aspect: -tu- ‘always’, -yuite- ‘never’, -qar- ‘momentarily’ [OPT]	NA	NA
cent2127	verbal	5	Slot	'Realization1: -yaaqe- ‘in vain’, -ngate- ‘seem’, -ksaite- ''not yet'' [OPT]'	NA	NA
cent2127	verbal	6	Slot	Tense: -llru- ‘did’, -ciqe- ‘will’, -ngaite- ‘won’t’ [OPT]	NA	NA
cent2127	verbal	7	Slot	Status: -nrite- ‘not’; -yugnarqe- ‘may’; -yugnaite- ‘definitely won’t’ [OPT]	NA	NA
cent2127	verbal	8	Slot	Realization2: -yaaqe- ‘in vain’, -ngate- ‘seem’ [OPT]	NA	NA
cent2127	verbal	9	Slot	Evidential: -llini- ‘evidently’; -lli- ‘perhaps’ [OPT]	NA	NA
cent2127	verbal	10	Slot	Tense-Modal: -(g)aqe- ‘would have’, -ki- (requires Optative) ‘will; did (narrative reading)’; -lqe- (requires Indicative transitives) ‘did’ [OPT]	NA	NA
cent2127	verbal	11	Slot	Mood [OPT]	NA	NA
cent2127	verbal	12	Slot	Mood [OBLIG]	NA	NA
cent2127	verbal	13	Slot	Person+number [OPT]	NA	NA
cent2127	verbal	14	Slot	Person+number [OPT]	NA	NA
cent2127	verbal	15	Slot	Person+number [OPT]	NA	NA
cent2127	verbal	16	Slot	Person+number [OBLIG]	NA	NA
cent2127	verbal	17	Slot	Enclitic [OPT]	NA	NA
cent2127	verbal	18	Slot	Enclitic [OPT]	NA	NA
cent2127	verbal	19	Slot	Enclitic [OPT]	NA	NA
cent2127	verbal	20	Slot	Enclitic [OPT]	NA	NA
cent2127	verbal	21	Zone	Nonverb (If nominal, Any GF/case otherwise particle) [OPT]	NA	NA
cher1273	verbal	1	zone	NP{A,S,P}; PP; Adv	NA	NA
cher1273	verbal	2	slot	Irrealis y(i)-; relative c(i)-	NA	NA
cher1273	verbal	3	slot	Translocative w(i)-	NA	NA
cher1273	verbal	4	slot	Partitive n(i)-/ii- ~ iy-	NA	NA
cher1273	verbal	5	slot	Distributive tee-/ti- ~ c-/too-	NA	NA
cher1273	verbal	6	slot	Cislocative ta(y)-/ti(y)- ~ c-	NA	NA
cher1273	verbal	7	slot	Iterative vv- ~ v́ʔ-/ii- ~ íʔ-	NA	NA
cher1273	verbal	8	slot	Negative ka(y)-/kee-	NA	NA
cher1273	verbal	9	slot	Pronominal prefixes	NA	NA
cher1273	verbal	10	slot	Middle ata(a)-/ ali-/ at-; reflexive ataat-/ ata(a)-/ at-	NA	NA
cher1273	verbal	11	slot	Incorporated noun root, compounded verb root	NA	NA
cher1273	verbal	12	slot	Verb root	NA	NA
cher1273	verbal	13	slot	Aspectual (perfective, only to host the following derivational suffixes in positions 14 - 20)	NA	NA
cher1273	verbal	14	slot	Duplicative -iis-	NA	NA
cher1273	verbal	15	slot	Repetitive -iiloo-	NA	NA
cher1273	verbal	16	slot	Causative (can be repeated)	NA	NA
cher1273	verbal	17	slot	Completive -o-	NA	NA
cher1273	verbal	18	zone	Dative -e(e)-; ambulative -iit-	NA	NA
cher1273	verbal	19	slot	Venitive -ii-; andative -ee-	NA	NA
cher1273	verbal	20	slot	Inceptive -iit-	NA	NA
cher1273	verbal	21	slot	Aspectual (present; imperfective; perfective; punctual; infinitive)	NA	NA
cher1273	verbal	22	slot	Modal (indicative -a; assertive -vv́ʔi; reportative -ééʔi; habitual -óóʔi; future imperative -vvʔi; participial; nominal -i)	NA	NA
cher1273	verbal	23	zone	Clitics (interrogative, discursive)	NA	NA
cher1273	verbal	24	zone	NP{A,S,P}; PP; Adv	NA	NA
cher1273	nominal	1	zone	NP{A,S,P}, PP, Adv	NA	NA
cher1273	nominal	2	slot	Partitive ii- ~ iy-	NA	NA
cher1273	nominal	3	slot	Distributive ti- ~ c-	NA	NA
cher1273	nominal	4	slot	Pronominal prefixes	NA	NA
cher1273	nominal	5	slot	Middle ata(a)-/ ali-/ at-, reflexive ataat-/ ata(a)-/ at-	NA	NA
cher1273	nominal	6	slot	Compounded noun root	NA	NA
cher1273	nominal	7	slot	Noun root	NA	NA
cher1273	nominal	8	zone	-ya ‘real’, diminutive -(uu)ca, adjectivizer -haaʔi	NA	NA
cher1273	nominal	9	slot	Locative	NA	NA
cher1273	nominal	10	zone	Clitics (interrogative, discursive)	NA	NA
cher1273	nominal	11	zone	NP{A,S,P}, PP, Adv	NA	NA
cher1273	adjective	1	zone	NP{A,S,P}, PP, Adv	NA	NA
cher1273	adjective	2	slot	Translocative w(i)-	NA	NA
cher1273	adjective	3	slot	Partitive ii- ~ iy-	NA	NA
cher1273	adjective	4	slot	Distributive ti- ~ c-	NA	NA
cher1273	adjective	5	slot	Pronominal prefixes	NA	NA
cher1273	adjective	6	slot	Middle ata(a)-/ ali-/ at-, reflexive ataat-/ ata(a)-/ at-	NA	NA
cher1273	adjective	7	slot	Adjective root	NA	NA
cher1273	adjective	8	slot	Intensifier	NA	NA
cher1273	adjective	9	zone	Clitics (interrogative, discursive)	NA	NA
cher1273	adjective	10	zone	NP{A,S,P}, PP, Adv	NA	NA
arao1248	verbal	1	slot	XP (NP, PP, S), adverbials	NA	NA
arao1248	verbal	2	zone	'P2'''	NA	NA
arao1248	verbal	3	zone	XP (NP, PP,S), adverbials	NA	NA
arao1248	verbal	4	slot	'prefix'''	NA	NA
arao1248	verbal	5	slot	noun	NA	NA
arao1248	verbal	6	slot	core verb root	NA	NA
arao1248	verbal	7	zone	motion, time of day, aspectual, manner, root	NA	NA
arao1248	verbal	8	slot	affectionate, small	NA	NA
arao1248	verbal	9	slot	with difficulty, almost	NA	NA
arao1248	verbal	10	slot	interactional	NA	NA
arao1248	verbal	11	slot	caus., cmpl.	NA	NA
arao1248	verbal	12	slot	3A	NA	NA
arao1248	verbal	13	slot	finality marker	NA	NA
arao1248	verbal	14	slot	tense, aspect, posture, negation, wandering, clause-linkage	NA	NA
arao1248	verbal	15	slot	limitative, again	NA	NA
arao1248	verbal	16	slot	auxiliary	NA	NA
arao1248	verbal	17	slot	connector	NA	NA
arao1248	verbal	18	zone	XP (NP, PP, Adv)	NA	NA
dura0000	verbal	1	slot	connectors, question marker	NA	NA
dura0000	verbal	2	slot	question words	NA	NA
dura0000	verbal	3	slot	focus (S/A/P, OBL, etc.)	NA	NA
dura0000	verbal	4	slot	realis negation	NA	NA
dura0000	verbal	5	zone	adverbials	NA	NA
dura0000	verbal	6	slot	additive	NA	NA
dura0000	verbal	7	slot	intensifier	NA	NA
dura0000	verbal	8	slot	intensifier/again	NA	NA
dura0000	verbal	9	slot	intensifier/again	NA	NA
dura0000	verbal	10	slot	additive	NA	NA
dura0000	verbal	11	slot	modals	NA	NA
dura0000	verbal	12	slot	perfective, irrealis negation	NA	NA
dura0000	verbal	13	slot	causative `do’	NA	NA
dura0000	verbal	14	slot	Irr/Pfv class markers	NA	NA
dura0000	verbal	15	slot	iterative	NA	NA
dura0000	verbal	16	slot	transitivizer `put’	NA	NA
dura0000	verbal	17	slot	verb core	NA	NA
dura0000	verbal	18	slot	additive	NA	NA
dura0000	verbal	19	slot	reciprocal	NA	NA
dura0000	verbal	20	slot	temporal adv.	NA	NA
dura0000	verbal	21	slot	intensifier	NA	NA
dura0000	verbal	22	slot	intensifier/again	NA	NA
dura0000	verbal	23	slot	intensifier/again	NA	NA
dura0000	verbal	24	slot	additive	NA	NA
dura0000	verbal	25	slot	inside/being	NA	NA
dura0000	verbal	26	slot	S/A	NA	NA
dura0000	verbal	27	slot	P	NA	NA
dura0000	verbal	28	zone	OBL, PP, LOC, adv.	NA	NA
dura0000	verbal	29	slot	discourse markers	NA	NA
kiow1266	verbal	1	slot	Left-Dislocated RC	NA	NA
kiow1266	verbal	2	slot	Question Particles/WH Words	NA	NA
kiow1266	verbal	3	slot	Clause Introducers	NA	NA
kiow1266	verbal	4	zone	Modal Particles	NA	NA
kiow1266	verbal	5	zone	Tense/Aspect Particles	NA	NA
kiow1266	verbal	6	slot	Adverbs (place, manner, time)	NA	NA
kiow1266	verbal	7	slot	Noun-Locative Adverbials	NA	NA
kiow1266	verbal	8	zone	Modal Particles	NA	NA
kiow1266	verbal	9	zone	Tense/Aspect Particles	NA	NA
kiow1266	verbal	10	slot	Negation	NA	NA
kiow1266	verbal	11	zone	Modal Particles	NA	NA
kiow1266	verbal	12	zone	Tense/Aspect Particles	NA	NA
kiow1266	verbal	13	slot	DP A, S or RC	NA	NA
kiow1266	verbal	14	slot	Noun-Locative Adverbials	NA	NA
kiow1266	verbal	15	zone	Modal Particles	NA	NA
kiow1266	verbal	16	zone	Tense/Aspect Particles	NA	NA
kiow1266	verbal	17	slot	DP P, i.o. or RC	NA	NA
kiow1266	verbal	18	slot	Noun-Locative Adverbials	NA	NA
kiow1266	verbal	19	zone	Modal Particles	NA	NA
kiow1266	verbal	20	zone	Tense/Aspect Particles	NA	NA
kiow1266	verbal	21	slot	DP d.o. or RC	NA	NA
kiow1266	verbal	22	slot	Noun-Locative Adverbials	NA	NA
kiow1266	verbal	23	zone	Modal Particles	NA	NA
kiow1266	verbal	24	zone	Tense/Aspect Particles	NA	NA
kiow1266	verbal	25	slot	Pronominal	NA	NA
kiow1266	verbal	26	slot	Incorp. Adverb	NA	NA
kiow1266	verbal	27	slot	Incorp. Noun	NA	NA
kiow1266	verbal	28	slot	Incorp. Verb	NA	NA
kiow1266	verbal	29	slot	Verb Stem (Root-Deriv)	NA	NA
kiow1266	verbal	30	slot	Aspect Suffix	NA	NA
kiow1266	verbal	31	slot	Negative Suffix	NA	NA
kiow1266	verbal	32	zone	Modality Suffix	NA	NA
kiow1266	verbal	33	slot	Hearsay Suffix	NA	NA
kiow1266	verbal	34	slot	Nominalizer/Relativizer Suffix	NA	NA
kiow1266	verbal	35	slot	Locative/Directional Suffix	NA	NA
kiow1266	verbal	36	slot	Subordinate Markers	NA	NA
kiow1266	verbal	37	slot	Adverbs (place, manner, time)	NA	NA
kiow1266	verbal	38	slot	Noun-Locative Adverbials	NA	NA
kiow1266	verbal	39	slot	Right-Dislocated DP or RC	NA	NA
kaya1330	verbal	1	slot	polar interrogative particle	NA	NA
kaya1330	verbal	2	slot	XP fronted for contrast	NA	NA
kaya1330	verbal	3	slot	tense/mood marker	NA	NA
kaya1330	verbal	4	slot	nominative subject NP or pronoun	NA	NA
kaya1330	verbal	5	zone	particles of varied semantics	NA	NA
kaya1330	verbal	6	slot	subject paucal number	NA	NA
kaya1330	verbal	7	slot	oblique subject NP or index	NA	NA
kaya1330	verbal	8	slot	oblique subject marker	NA	NA
kaya1330	verbal	9	zone	XP (adjuncts)	NA	NA
kaya1330	verbal	10	slot	direct object NP or index	NA	NA
kaya1330	verbal	11	slot	'``preverb'''''	NA	NA
kaya1330	verbal	12	slot	subject person	NA	NA
kaya1330	verbal	13	slot	valency-reducing prefixes	NA	NA
kaya1330	verbal	14	slot	transitivity prefixes	NA	NA
kaya1330	verbal	15	slot	gmverb root	NA	NA
kaya1330	verbal	16	slot	non-finiteness suffix	NA	NA
kaya1330	verbal	17	slot	P (governed by auxiliary)	NA	NA
kaya1330	verbal	18	slot	subject person (on aux.)	NA	NA
kaya1330	verbal	19	slot	auxiliary root	NA	NA
kaya1330	verbal	20	slot	non-finiteness suffix	NA	NA
kaya1330	verbal	21	zone	non-verbal governing modifier	NA	NA
kaya1330	verbal	22	slot	light manner verbs	NA	NA
kaya1330	verbal	23	slot	nominal subordinate clause	NA	NA
kaya1330	verbal	24	zone	Modifiers	NA	NA
kaya1330	verbal	25	slot	Complement NP	NA	NA
kaya1330	verbal	26	slot	Nominal relator	NA	NA
kaya1330	verbal	27	slot	Noun root	NA	NA
kaya1330	verbal	28	zone	Governing modifier	NA	NA
kaya1330	verbal	29	slot	Dimunitive and related	NA	NA
kaya1330	verbal	30	zone	Determiners and related	NA	NA
kaya1330	verbal	31	slot	Adposition or case	NA	NA
kaya1330	verbal	32	slot	Focus-sensitive particles	NA	NA
moco1246	verbal	1	slot	clause linkers	NA	NA
moco1246	verbal	2	zone	S/A, adverbs	NA	NA
moco1246	verbal	3	slot	1st, 2nd P	NA	NA
moco1246	verbal	4	slot	negation	NA	NA
moco1246	verbal	5	slot	subject defocusing	NA	NA
moco1246	verbal	6	slot	bound person forms	NA	NA
moco1246	verbal	7	slot	verb core	NA	NA
moco1246	verbal	8	slot	valence modifier I	NA	NA
moco1246	verbal	9	slot	causee	NA	NA
moco1246	verbal	10	slot	valence modifier II	NA	NA
moco1246	verbal	11	slot	'1stpl, 2nd S/A, 3rd`pl'' P'	NA	NA
moco1246	verbal	12	slot	aspect	NA	NA
moco1246	verbal	13	slot	desiderative	NA	NA
moco1246	verbal	14	slot	reflexive, reciprocal	NA	NA
moco1246	verbal	15	zone	transitivizer, directionals, locatives	NA	NA
moco1246	verbal	16	slot	non-subject plural	NA	NA
moco1246	verbal	17	slot	diminutives	NA	NA
moco1246	verbal	18	slot	temporal/ evid?	NA	NA
moco1246	verbal	19	slot	3rd P or A	NA	NA
moco1246	verbal	20	slot	oblique nominals	NA	NA
yucu1253	verbal	1	slot	connectors	NA	NA
yucu1253	verbal	2	slot	adverbial interrogatives	NA	NA
yucu1253	verbal	3	zone	adverbials	NA	NA
yucu1253	verbal	4	slot	negation	NA	NA
yucu1253	verbal	5	slot	constituent focus/interrogative	NA	NA
yucu1253	verbal	6	slot	negation	NA	NA
yucu1253	verbal	7	slot	indefinite proforms	NA	NA
yucu1253	verbal	8	slot	S/A NP	NA	NA
yucu1253	verbal	9	slot	person indexes (S/A)	NA	NA
yucu1253	verbal	10	slot	verb core	NA	NA
yucu1253	verbal	11	slot	valency	NA	NA
yucu1253	verbal	12	slot	negation	NA	NA
yucu1253	verbal	13	slot	tense	NA	NA
yucu1253	verbal	14	slot	nominalization, mood	NA	NA
yucu1253	verbal	15	slot	gender/number	NA	NA
yucu1253	verbal	16	slot	imperative	NA	NA
yucu1253	verbal	17	slot	middle	NA	NA
yucu1253	verbal	18	slot	perfective	NA	NA
yucu1253	verbal	19	zone	habitual, frustrative	NA	NA
yucu1253	verbal	20	slot	discourse markers	NA	NA
yucu1253	verbal	21	zone	P, PP, OBL, ADV, remote past	NA	NA
chac1251	verbal	1	slot	connector	NA	NA
chac1251	verbal	2	zone	noun phrase {A,S,P,R,T}, adverbial, postpositional phrase	NA	NA
chac1251	verbal	3	slot	tsi	NA	NA
chac1251	verbal	4	slot	evidential/modal	NA	NA
chac1251	verbal	5	slot	affective	NA	NA
chac1251	verbal	6	slot	noun phrase {A,S,P,R,T}, adverbial, postpositional phrase	NA	NA
chac1251	verbal	7	slot	body part incorporation	NA	NA
chac1251	verbal	8	slot	verb core	NA	NA
chac1251	verbal	9	slot	Valence 1 (transitivity)	NA	NA
chac1251	verbal	10	slot	Valence 2 (antipassive -mis, causative1 -wa)	NA	NA
chac1251	verbal	11	zone	Valence 3 (passive -ʔaka, interactional -na), negation =yama	NA	NA
chac1251	verbal	12	zone	Valence 4 (interactional =bɨki, causative2 =ma)	NA	NA
chac1251	verbal	13	slot	Completive =yo	NA	NA
chac1251	verbal	14	slot	Associated motion	NA	NA
chac1251	verbal	15	slot	Punctual =tapi	NA	NA
chac1251	verbal	16	zone	Aspect, durative =kas	NA	NA
chac1251	verbal	17	zone	adverbial/modal	NA	NA
chac1251	verbal	18	slot	tsi	NA	NA
chac1251	verbal	19	slot	evidential/modal	NA	NA
