tree_number	newick	group_spans	group_convergence
11	(((1,2,3,4,5,(6,((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;	1-28;1-27;1-24;6-24;7-24;7-22;7-20;7-17;7-13;7-12;8-12	1;1;1;3;4;2;1;1;1;1;1
12	((1,2,3,4,5,((6,((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;6-24;7-24;7-22;7-20;7-17;7-13;7-12;8-12	1;1;1;3;4;2;1;1;1;1;1
13	((1,2,3,4,5,(6,((((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;7-26;7-25;7-24;7-22;7-20;7-17;8-16;8-12	1;1;1;1;2;4;2;1;1;1;1
14	(1,2,3,4,5,(((6,((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;6-24;7-24;7-22;7-20;7-17;7-13;7-12;8-12	1;1;1;3;4;2;1;1;1;1;1
15	(1,2,3,4,5,((6,((((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;7-26;7-25;7-24;7-22;7-20;7-17;8-16;8-12	1;1;1;1;2;4;2;1;1;1;1
16	(((1,2,3,4,5,(6,((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;	1-28;1-27;1-24;6-24;7-24;7-22;7-20;7-17;8-16;8-12	1;1;1;3;4;2;1;1;1;1
17	((1,2,3,4,5,((6,((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;6-24;7-24;7-22;7-20;7-17;8-16;8-12	1;1;1;3;4;2;1;1;1;1
18	(1,2,3,4,5,(((6,((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;6-24;7-24;7-22;7-20;7-17;8-16;8-12	1;1;1;3;4;2;1;1;1;1
19	(((1,2,3,4,5,((6,(((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24)1-24,25,26,27)1-27,28)1-28;	1-28;1-27;1-24;6-24;6-17;7-17;7-13;7-12;8-12	1;1;1;3;2;1;1;1;1
20	((1,2,3,4,5,(((6,(((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;6-24;6-17;7-17;7-13;7-12;8-12	1;1;1;3;2;1;1;1;1
21	((1,2,3,4,5,(6,(((7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;7-26;7-25;7-24;8-24;8-16;8-12	1;1;1;1;2;4;3;1;1
22	(1,2,3,4,5,((((6,(((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;6-24;6-17;7-17;7-13;7-12;8-12	1;1;1;3;2;1;1;1;1
23	(1,2,3,4,5,((6,(((7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;7-26;7-25;7-24;8-24;8-16;8-12	1;1;1;1;2;4;3;1;1
24	(((1,2,3,4,5,((6,(7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17)6-17,18,19,20,21,22,23,24)6-24)1-24,25,26,27)1-27,28)1-28;	1-28;1-27;1-24;6-24;6-17;7-17;8-16;8-12	1;1;1;3;2;1;1;1
25	(((1,2,3,4,5,(6,(7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;	1-28;1-27;1-24;6-24;7-24;8-24;8-16;8-12	1;1;1;3;4;3;1;1
26	((1,2,3,4,5,(((6,(7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;6-24;6-17;7-17;8-16;8-12	1;1;1;3;2;1;1;1
27	((1,2,3,4,5,((6,(7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;6-24;7-24;8-24;8-16;8-12	1;1;1;3;4;3;1;1
28	(1,2,3,4,5,((((6,(7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;6-24;6-17;7-17;8-16;8-12	1;1;1;3;2;1;1;1
29	(1,2,3,4,5,(((6,(7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;6-24;7-24;8-24;8-16;8-12	1;1;1;3;4;3;1;1
