family_id	family_number	n_spans	newick
family_011	11	9	((1,(2,(3,(4,5,6,7,8,9,10,11,((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;
family_012	12	9	((1,(2,(3,4,5,6,7,8,9,10,11,(((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25)3-25,26,27,28)2-28)1-28,29)1-29;
family_013	13	9	((1,(2,3,((4,(5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19)5-19,20,21,22,23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;
family_014	14	9	((1,(2,3,((4,5,6,7,8,9,10,(11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;
family_015	15	9	((1,(2,3,((4,5,6,7,8,9,10,11,((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;
family_016	16	9	((1,(2,3,(4,5,6,7,8,9,10,((11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23,24,25,26,27)11-27,28)4-28)2-28)1-28,29)1-29;
family_017	17	9	(1,2,3,4,5,(6,7,8,9,10,(11,((((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28,29)6-29)1-29;
family_018	18	8	(((1,2,(3,(4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;
family_019	19	8	(((1,2,(3,(4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;
family_020	20	8	(((1,2,(3,4,5,6,7,8,9,10,11,((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25)3-25,26,27)1-27,28)1-28,29)1-29;
family_021	21	8	(((1,2,3,4,5,6,7,8,9,10,((11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23,24,25,26,27)11-27)1-27,28)1-28,29)1-29;
family_022	22	8	((1,(2,(3,(4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;
family_023	23	8	((1,(2,(3,(4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;
family_024	24	8	((1,(2,(3,4,5,6,7,8,9,10,11,((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25)3-25,26,27,28)2-28)1-28,29)1-29;
family_025	25	8	((1,(2,3,((4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;
family_026	26	8	((1,(2,3,((4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;
family_027	27	8	((1,(2,3,(4,5,6,7,8,9,10,((11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23,24,25,26,27)11-27,28)4-28)2-28)1-28,29)1-29;
family_028	28	8	((1,(2,3,(4,5,6,7,8,9,10,(11,12,13,((14,15,(16,17)16-17,18,19,20)14-20,21,22,23,24,25,26,27)14-27)11-27,28)4-28)2-28)1-28,29)1-29;
family_029	29	8	((1,(2,3,(4,5,6,7,8,9,10,(11,12,13,(14,15,16,((17,18,19,20,21,22,23,24,25,26)17-26,27)17-27)14-27)11-27,28)4-28)2-28)1-28,29)1-29;
family_030	30	8	(1,2,3,4,5,(6,7,8,9,10,(11,(((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28,29)6-29)1-29;
family_031	31	7	(((1,2,3,4,5,6,7,8,9,10,((11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23,24,25,26,27)11-27)1-27,28)1-28,29)1-29;
family_032	32	7	(((1,2,3,4,5,6,7,8,9,10,(11,12,13,((14,15,(16,17)16-17,18,19,20)14-20,21,22,23,24,25,26,27)14-27)11-27)1-27,28)1-28,29)1-29;
family_033	33	7	(((1,2,3,4,5,6,7,8,9,10,(11,12,13,(14,15,16,((17,18,19,20,21,22,23,24,25,26)17-26,27)17-27)14-27)11-27)1-27,28)1-28,29)1-29;
family_034	34	7	((1,(2,3,(4,5,6,7,8,9,10,(11,(12,13,14,15,16,(17,18,19,20,21,22,23,24,25,26)17-26)12-26,27)11-27,28)4-28)2-28)1-28,29)1-29;
family_035	35	7	(1,2,3,4,5,(6,7,8,9,10,((11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23,24,25,26,27)11-27,28,29)6-29)1-29;
family_036	36	6	(((1,2,3,4,5,6,7,8,9,10,(11,(12,13,14,15,16,(17,18,19,20,21,22,23,24,25,26)17-26)12-26,27)11-27)1-27,28)1-28,29)1-29;
family_037	37	6	(1,2,3,4,5,(6,7,8,9,10,((11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23,24,25,26,27)11-27,28,29)6-29)1-29;
family_038	38	6	(1,2,3,4,5,(6,7,8,9,10,(11,12,13,((14,15,(16,17)16-17,18,19,20)14-20,21,22,23,24,25,26,27)14-27)11-27,28,29)6-29)1-29;
family_039	39	6	(1,2,3,4,5,(6,7,8,9,10,(11,12,13,(14,15,16,((17,18,19,20,21,22,23,24,25,26)17-26,27)17-27)14-27)11-27,28,29)6-29)1-29;
family_040	40	5	(1,2,3,4,5,(6,7,8,9,10,(11,(12,13,14,15,16,(17,18,19,20,21,22,23,24,25,26)17-26)12-26,27)11-27,28,29)6-29)1-29;
