family_id	family_number	n_spans	newick
family_048	48	11	(1,(2,(3,4,(((5,6)5-6,7,((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_049	49	11	(1,(2,(3,4,(((5,6)5-6,7,(8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_050	50	11	(1,(2,(3,4,(((5,6)5-6,7,(8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_051	51	11	(1,(2,(3,4,(((5,6)5-6,7,(8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_052	52	11	(1,(2,(3,4,(((((5,((6,7,8)6-8,(9,10)9-10)6-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_053	53	11	(1,(2,(3,4,(((((5,(6,7,(8,(9,10)9-10)8-10)6-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_054	54	11	(1,(2,(3,4,((5,(((6,7,8)6-8,(9,10)9-10)6-10,11,12,(13,14,15)13-15,16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_055	55	11	(1,(2,(3,4,((5,((6,7,8)6-8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_056	56	11	(1,(2,(3,4,((5,((6,7,8)6-8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_057	57	11	(1,(2,(3,4,((5,((6,7,8)6-8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_058	58	11	(1,(2,(3,4,((5,((6,7,(8,(9,10)9-10)8-10)6-10,11,12,(13,14,15)13-15,16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_059	59	11	(1,(2,(3,4,((5,(6,7,((8,(9,10)9-10)8-10,11,12,(13,14,15)13-15,16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_060	60	11	(1,(2,(3,4,((5,(6,7,(8,((9,10)9-10,11,12,(13,14,15)13-15,16)9-16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_061	61	11	(1,(2,(3,4,((5,(6,7,(8,(9,((10,11,12,13)10-13,14,15,16)10-16)9-16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_062	62	11	(1,(2,(3,4,((5,(6,7,(8,(9,(10,11,12,(13,14,15)13-15,16)10-16)9-16)8-16)6-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_063	63	10	(1,(2,(3,4,((((((5,6)5-6,7,8,9,(10,11,12,13)10-13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_064	64	10	(1,(2,(3,4,((((5,6)5-6,7,(8,(9,10)9-10)8-10,11,12,13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_065	65	10	(1,(2,(3,4,(((((5,(6,7,8)6-8,9,(10,11,12,13)10-13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_066	66	10	(1,(2,(3,4,(((5,((6,7,8)6-8,(9,10)9-10)6-10,11,12,13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_067	67	10	(1,(2,(3,4,(((5,(6,7,(8,(9,10)9-10)8-10)6-10,11,12,13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_068	68	9	(1,(2,(3,4,((((5,6)5-6,7,8,9,(10,11,12,13)10-13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_069	69	9	(1,(2,(3,4,(((5,(6,7,8)6-8,9,(10,11,12,13)10-13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
