Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels
52	Central Alaskan Yupik	cent2127	cent2127_v_deviations_cumulative.exponence_cumulative.exponence.and.suppletion.involving.negation	indeterminate	deviations	cumulative.exponence	NA	cumulative.exponence.and.suppletion.involving.negation	4	12	1	0.05	9	0.47	19	21	19	cent2127_verbal	indeterminate	Cumul. Exp.
53	Central Alaskan Yupik	cent2127	cent2127_v_deviations_extended.exponence_nonbiunique.marking.of.mood.and.person/number.of.s/a/o	indeterminate	deviations	extended.exponence	NA	nonbiunique.marking.of.mood.and.person/number.of.s/a/o	11	16	1	0.05	6	0.32	19	21	19	cent2127_verbal	indeterminate	Extend. Exp.
54	Central Alaskan Yupik	cent2127	cent2127_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	indeterminate	Free Ocurr. Max.
55	Central Alaskan Yupik	cent2127	cent2127_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	indeterminate	Free Ocurr. Min.
56	Central Alaskan Yupik	cent2127	cent2127_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	Non-interrupt.
57	Central Alaskan Yupik	cent2127	cent2127_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	Non-permut. Rigid
58	Central Alaskan Yupik	cent2127	cent2127_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	morphosyntactic	Non-permut. Scope
59	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement.say	morphosyntactic	recursion.based	complementation	NA	complement.say	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	Rec. Compl. Say
60	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement1	morphosyntactic	recursion.based	complementation	NA	complement1	2	3	1	0.05	2	0.11	19	21	19	cent2127_verbal	morphosyntactic	Rec. Compl. 1
61	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement2	morphosyntactic	recursion.based	complementation	NA	complement2	2	4	1	0.05	3	0.16	19	21	19	cent2127_verbal	morphosyntactic	Rec. Compl. 2
62	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement3	morphosyntactic	recursion.based	complementation	NA	complement3	2	7	1	0.05	6	0.32	19	21	19	cent2127_verbal	morphosyntactic	Rec. Compl. 3
63	Central Alaskan Yupik	cent2127	cent2127_v_repair_maximal	indeterminate	repair	NA	maximal	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	indeterminate	Repair Max.
64	Central Alaskan Yupik	cent2127	cent2127_v_repair_minimal	indeterminate	repair	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	indeterminate	Repair Min.
65	Central Alaskan Yupik	cent2127	cent2127_v_segmental_consonant.coalescence_uvular-velar.consonant.coalescence	phonological	segmental	consonant.coalescence	NA	uvular-velar.consonant.coalescence	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	assimilation	Cons. Coal.
66	Central Alaskan Yupik	cent2127	cent2127_v_segmental_consonant.deletion_vvv.clusteravoidance	phonological	segmental	consonant.deletion	NA	vvv.clusteravoidance	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	assimilation	V-Clust. Avoid.
67	Central Alaskan Yupik	cent2127	cent2127_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	stress	Stress Max.
68	Central Alaskan Yupik	cent2127	cent2127_v_suprasegmental_accent_minimal	phonological	suprasegmental	accent	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	stress	Stress Min.
69	Chácobo	chac1251	chac1251_n_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	4	12	2	0.08	9	0.75	12	12	26	chac1251_nominal	morphosyntactic	NA
70	Chácobo	chac1251	chac1251_n_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	4	4	3	0.12	1	0.08	12	12	26	chac1251_nominal	morphosyntactic	NA
71	Chácobo	chac1251	chac1251_n_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	3	12	3	0.12	10	0.83	12	12	26	chac1251_nominal	indeterminate	NA
72	Chácobo	chac1251	chac1251_n_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	4	4	3	0.12	1	0.08	12	12	26	chac1251_nominal	indeterminate	NA
73	Chácobo	chac1251	chac1251_n_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	3	6	3	0.12	4	0.33	12	12	26	chac1251_nominal	morphosyntactic	NA
74	Chácobo	chac1251	chac1251_n_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	3	5	1	0.04	3	0.25	12	12	26	chac1251_nominal	morphosyntactic	NA
75	Chácobo	chac1251	chac1251_n_nonpermutability_maximal	morphosyntactic	nonpermutability	NA	maximal	NA	2	12	1	0.04	11	0.92	12	12	26	chac1251_nominal	morphosyntactic	NA
76	Chácobo	chac1251	chac1251_n_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	2	2	1	0.04	1	0.08	12	12	26	chac1251_nominal	morphosyntactic	NA
77	Chácobo	chac1251	chac1251_n_nonpermutability_scopal_minimal	morphosyntactic	nonpermutability	scopal	minimal	NA	2	6	1	0.04	5	0.42	12	12	26	chac1251_nominal	morphosyntactic	NA
78	Chácobo	chac1251	chac1251_n_proform	morphosyntactic	proform	NA	NA	NA	1	12	2	0.08	12	1	12	12	26	chac1251_nominal	morphosyntactic	NA
79	Chácobo	chac1251	chac1251_n_recursion.based_compound	morphosyntactic	recursion.based	NA	NA	compound	3	4	6	0.23	2	0.17	12	12	26	chac1251_nominal	morphosyntactic	NA
80	Chácobo	chac1251	chac1251_n_recursion.based_maximal_tihi.conjunction	morphosyntactic	recursion.based	NA	maximal	tihi.conjunction	2	8	1	0.04	7	0.58	12	12	26	chac1251_nominal	morphosyntactic	NA
81	Chácobo	chac1251	chac1251_n_recursion.based_minimal_tihi.conjunction	indeterminate	recursion.based	NA	minimal	tihi.conjunction	3	6	3	0.12	4	0.33	12	12	26	chac1251_nominal	indeterminate	NA
82	Chácobo	chac1251	chac1251_n_recursion.based_naxeni	morphosyntactic	recursion.based	NA	NA	naxeni	3	4	6	0.23	2	0.17	12	12	26	chac1251_nominal	morphosyntactic	NA
83	Chácobo	chac1251	chac1251_n_recursion.based_possession_maximal_genitive	morphosyntactic	recursion.based	possession	maximal	genitive	2	10	1	0.04	9	0.75	12	12	26	chac1251_nominal	morphosyntactic	NA
84	Chácobo	chac1251	chac1251_n_recursion.based_possession_minimal_genitive	indeterminate	recursion.based	possession	minimal	genitive	4	4	3	0.12	1	0.08	12	12	26	chac1251_nominal	indeterminate	NA
85	Chácobo	chac1251	chac1251_n_segmental_consonant.assimilation_alveolarization	phonological	segmental	consonant.assimilation	NA	alveolarization	3	4	6	0.23	2	0.17	12	12	26	chac1251_nominal	assimilation	NA
86	Chácobo	chac1251	chac1251_n_segmental_consonant.insertion_glottal.stop.insertion	phonological	segmental	consonant.insertion	NA	glottal.stop.insertion	3	4	6	0.23	2	0.17	12	12	26	chac1251_nominal	insertion	NA
87	Chácobo	chac1251	chac1251_n_segmental_vowel.deletion_apocope	phonological	segmental	vowel.deletion	NA	apocope	4	12	2	0.08	9	0.75	12	12	26	chac1251_nominal	deletion	NA
88	Chácobo	chac1251	chac1251_n_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	maximal	intensity	3	12	3	0.12	10	0.83	12	12	26	chac1251_nominal	stress	NA
