Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels
30	Ayautla Mazatec	ayau1235	ayau1235_v_pausing_pause	phonological	pausing	NA	NA	pause	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	pause	Pause
31	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_asyndetic_verbal.parallelism	indeterminate	recursion.based	asyndetic	NA	verbal.parallelism	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	morphosyntactic	Verbal Parallel.
32	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_maximal_coordination	morphosyntactic	recursion.based	NA	maximal	coordination	2	29	1	0.03	28	0.93	30	31	30	ayau1235_verbal	morphosyntactic	Coordination Max.
33	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_minimal_coordination	indeterminate	recursion.based	NA	minimal	coordination	6	28	2	0.07	23	0.77	30	31	30	ayau1235_verbal	morphosyntactic	Coordination Min.
34	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_nominalization_maximal	morphosyntactic	recursion.based	nominalization	maximal	NA	3	29	1	0.03	27	0.9	30	31	30	ayau1235_verbal	morphosyntactic	Nominaliz. Max.
35	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_nominalization_minimal	indeterminate	recursion.based	nominalization	minimal	NA	3	20	1	0.03	18	0.6	30	31	30	ayau1235_verbal	morphosyntactic	Nominaliz. Min.
36	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_reduplication_total.reduplication	indeterminate	recursion.based	reduplication	NA	total.reduplication	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	morphosyntactic	Total Redupl.
37	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_syllabification_negative.evidence	phonological	segmental	syllabification	NA	negative.evidence	16	28	1	0.03	13	0.43	30	31	30	ayau1235_verbal	syllable	Segm. Syllab. Negative
38	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_syllabification_positive.evidence	phonological	segmental	syllabification	NA	positive.evidence	16	19	1	0.03	4	0.13	30	31	30	ayau1235_verbal	syllable	Segm. Syllab. Positive
39	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_vowel-consonant.dissimilation_maximal_*ɛ.j.constraint.negative.evidence	phonological	segmental	vowel-consonant.dissimilation	maximal	*ɛ.j.constraint.negative.evidence	13	25	1	0.03	13	0.43	30	31	30	ayau1235_verbal	dissimilation	*ɛ.j Constraint Max.
40	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_vowel-consonant.dissimilation_minimal_*ɛ.j.constraint.positive.evidence	phonological	segmental	vowel-consonant.dissimilation	minimal	*ɛ.j.constraint.positive.evidence	19	19	3	0.1	1	0.03	30	31	30	ayau1235_verbal	dissimilation	*ɛ.j Constraint Min.
41	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	15	20	2	0.07	6	0.2	30	31	30	ayau1235_verbal	stress	Stress Max.
42	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_accent_minimal_positive.evidence	phonological	suprasegmental	accent	minimal	positive.evidence	19	20	1	0.03	2	0.07	30	31	30	ayau1235_verbal	stress	Stress Min.
43	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_neutralization_maximal_obligatory.tone.neutralization	phonological	suprasegmental	neutralization	maximal	obligatory.tone.neutralization	15	21	2	0.07	7	0.23	30	31	30	ayau1235_verbal	tone	*3.24 Neutral. Max.
44	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_neutralization_minimal_obligatory.tone.neutralization	phonological	suprasegmental	neutralization	minimal	obligatory.tone.neutralization	19	19	3	0.1	1	0.03	30	31	30	ayau1235_verbal	tone	*3.24 Neutral. Min.
45	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_maximal_no.prosodic.restrictions	phonological	suprasegmental	tone.sandhi	maximal	no.prosodic.restrictions	2	31	1	0.03	30	1	30	31	30	ayau1235_verbal	tone	Poss. Sandhi Max.
46	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_maximal_sandhi.blocking	phonological	suprasegmental	tone.sandhi	maximal	sandhi.blocking	15	21	2	0.07	7	0.23	30	31	30	ayau1235_verbal	tone	Sandhi Blocking Max.
47	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_minimal_optional.tone.sandhi	phonological	suprasegmental	tone.sandhi	minimal	optional.tone.sandhi	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	tone	Poss. Sandhi Min.
48	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_minimal_sandhi.blocking	phonological	suprasegmental	tone.sandhi	minimal	sandhi.blocking	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	tone	Sandhi Blocking Min.
49	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_tone.sandhi_obligatory.sandhi	phonological	suprasegmental	tone.sandhi	NA	obligatory.sandhi	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	tone	Oblig. Sandhi
50	Central Alaskan Yupik	cent2127	cent2127_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	4	16	1	0.05	13	0.68	19	21	19	cent2127_verbal	morphosyntactic	Ciscat. Sel. Max.
51	Central Alaskan Yupik	cent2127	cent2127_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	Ciscat. Sel. Min.
