tree_number	newick	group_spans	group_convergence
49	(1,2,(3,(4,(5,6,(((7,8)7-8,9,(10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-8;10-18;11-18;11-12;15-17;19-21	0;5;2;4;5;1;1;2;1;1;1;1
50	(1,2,(3,(4,(5,6,(((7,8)7-8,9,(10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-8;10-18;11-18;12-18;12-15;19-21	0;5;2;4;5;1;1;2;1;1;1;1
51	(1,2,(3,(4,(5,6,(((7,8)7-8,9,(10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-8;10-18;11-18;12-18;15-17;19-21	0;5;2;4;5;1;1;2;1;1;1;1
52	(1,2,(3,(4,(5,6,(((((7,((8,9,10)8-10,(11,12)11-12)8-12,13,14,15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;7-15;8-12;8-10;11-12	0;5;2;4;5;1;2;10;1;3;3;1
53	(1,2,(3,(4,(5,6,(((((7,(8,9,(10,(11,12)11-12)10-12)8-12,13,14,15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;7-15;8-12;10-12;11-12	0;5;2;4;5;1;2;10;1;3;1;1
54	(1,2,(3,(4,(5,6,((7,(((8,9,10)8-10,(11,12)11-12)8-12,13,14,(15,16,17)15-17,18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;8-12;8-10;11-12;15-17;19-21	0;5;2;4;5;1;7;3;3;1;1;1
55	(1,2,(3,(4,(5,6,((7,((8,9,10)8-10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;8-10;11-18;11-12;15-17;19-21	0;5;2;4;5;1;7;3;1;1;1;1
56	(1,2,(3,(4,(5,6,((7,((8,9,10)8-10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;8-10;11-18;12-18;12-15;19-21	0;5;2;4;5;1;7;3;1;1;1;1
57	(1,2,(3,(4,(5,6,((7,((8,9,10)8-10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;8-10;11-18;12-18;15-17;19-21	0;5;2;4;5;1;7;3;1;1;1;1
58	(1,2,(3,(4,(5,6,((7,((8,9,(10,(11,12)11-12)10-12)8-12,13,14,(15,16,17)15-17,18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;8-12;10-12;11-12;15-17;19-21	0;5;2;4;5;1;7;3;1;1;1;1
59	(1,2,(3,(4,(5,6,((7,(8,9,((10,(11,12)11-12)10-12,13,14,(15,16,17)15-17,18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;10-18;10-12;11-12;15-17;19-21	0;5;2;4;5;1;7;2;1;1;1;1
60	(1,2,(3,(4,(5,6,((7,(8,9,(10,((11,12)11-12,13,14,(15,16,17)15-17,18)11-18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;10-18;11-18;11-12;15-17;19-21	0;5;2;4;5;1;7;2;1;1;1;1
61	(1,2,(3,(4,(5,6,((7,(8,9,(10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;10-18;11-18;12-18;12-15;19-21	0;5;2;4;5;1;7;2;1;1;1;1
62	(1,2,(3,(4,(5,6,((7,(8,9,(10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18)8-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;8-18;10-18;11-18;12-18;15-17;19-21	0;5;2;4;5;1;7;2;1;1;1;1
63	(1,2,(3,(4,(5,6,((((((7,8)7-8,9,10,11,(12,13,14,15)12-15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;7-15;7-8;12-15	0;5;2;4;5;1;2;10;1;1;1
64	(1,2,(3,(4,(5,6,((((7,8)7-8,9,(10,(11,12)11-12)10-12,13,14,15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-15;7-8;10-12;11-12;19-21	0;5;2;4;5;1;1;1;1;1;1
65	(1,2,(3,(4,(5,6,(((((7,(8,9,10)8-10,11,(12,13,14,15)12-15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;7-15;8-10;12-15	0;5;2;4;5;1;2;10;1;3;1
66	(1,2,(3,(4,(5,6,(((7,((8,9,10)8-10,(11,12)11-12)8-12,13,14,15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-15;8-12;8-10;11-12;19-21	0;5;2;4;5;1;1;3;3;1;1
67	(1,2,(3,(4,(5,6,(((7,(8,9,(10,(11,12)11-12)10-12)8-12,13,14,15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-15;8-12;10-12;11-12;19-21	0;5;2;4;5;1;1;3;1;1;1
68	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,11,(12,13,14,15)12-15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-15;7-8;12-15;19-21	0;5;2;4;5;1;1;1;1;1
69	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,11,(12,13,14,15)12-15)7-15,16,17,18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-15;8-10;12-15;19-21	0;5;2;4;5;1;1;3;1;1
