chart	file	width	height	units
tree_count_without_adjacent	counts-and-chance/hupd1244_verbal_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	counts-and-chance/hupd1244_verbal_fragmentation_test_plot.pdf	10	6.5	in
span_placement_test_by_group_plot	counts-and-chance/hupd1244_verbal_span_placement_test_by_group_plot.pdf	11	9	in
arbitrary_layers_test_by_group_plot	counts-and-chance/hupd1244_verbal_arbitrary_layers_test_by_group_plot.pdf	11	9	in
boundary_strength_test_jump_all	boundaries/hupd1244_verbal_boundary_strength_test_jump_all.pdf	16	7	in
boundary_strength_test_level_all	boundaries/hupd1244_verbal_boundary_strength_test_level_all.pdf	16	7	in
boundary_strength_test_jump_morphosyntactic	boundaries/hupd1244_verbal_boundary_strength_test_jump_morphosyntactic.pdf	16	7	in
boundary_strength_test_level_morphosyntactic	boundaries/hupd1244_verbal_boundary_strength_test_level_morphosyntactic.pdf	16	7	in
boundary_strength_test_jump_phonological	boundaries/hupd1244_verbal_boundary_strength_test_jump_phonological.pdf	16	7	in
boundary_strength_test_level_phonological	boundaries/hupd1244_verbal_boundary_strength_test_level_phonological.pdf	16	7	in
boundary_strength_test_jump_indeterminate	boundaries/hupd1244_verbal_boundary_strength_test_jump_indeterminate.pdf	16	7	in
boundary_strength_test_level_indeterminate	boundaries/hupd1244_verbal_boundary_strength_test_level_indeterminate.pdf	16	7	in
boundary_strength_test_jump_morsyn_indet	boundaries/hupd1244_verbal_boundary_strength_test_jump_morsyn_indet.pdf	16	7	in
boundary_strength_test_level_morsyn_indet	boundaries/hupd1244_verbal_boundary_strength_test_level_morsyn_indet.pdf	16	7	in
boundary_strength	boundaries/hupd1244_verbal_boundary_strength.pdf	16	7	in
boundary_strength_distributions	boundaries/hupd1244_verbal_boundary_strength_distributions.pdf	16	5	in
boundary_strength_overlay	boundaries/hupd1244_verbal_boundary_strength_overlay.pdf	18.9090909090909	7	in
