Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels
27	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	6	15	5	0.09	10	0.53	19	19	57	nyan1308_verbal	NA	TonePattern4-OM
28	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	6	15	5	0.09	10	0.53	19	19	57	nyan1308_verbal	NA	TonePattern4-noOM
29	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	6	15	5	0.09	10	0.53	19	19	57	nyan1308_verbal	NA	TonePattern5
30	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	5	15	7	0.12	11	0.58	19	19	57	nyan1308_verbal	NA	TonePattern6
31	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	5	15	7	0.12	11	0.58	19	19	57	nyan1308_verbal	NA	TonePattern7-OM
32	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	5	15	7	0.12	11	0.58	19	19	57	nyan1308_verbal	NA	TonerPattern7-noM
33	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	5	15	7	0.12	11	0.58	19	19	57	nyan1308_verbal	NA	TonePattern8-OM
34	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	5	15	7	0.12	11	0.58	19	19	57	nyan1308_verbal	NA	TonePattern8-noOM
35	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	6	15	5	0.09	10	0.53	19	19	57	nyan1308_verbal	NA	TonePatternNeg2
36	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	TonePatternNeg3-PAST
37	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	TonePatternNeg3-PERM
38	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	TonePatternNeg-OM
39	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	TonePatternNeg-noOM
40	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	5	15	7	0.12	11	0.58	19	19	57	nyan1308_verbal	NA	TonePatternRel2
41	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	TonePatternRel3
42	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	10	15	1	0.02	6	0.32	19	19	57	nyan1308_verbal	NA	TonePatternHighToneExtension
46	Chichewa	nyan1308	nyan1308_v_repetition_repetition	length	repetition	repetition	NA	NA	8	15	5	0.09	8	0.42	19	19	57	nyan1308_verbal	NA	SubspanRepetition-Reduplication
48	Chichewa	nyan1308	nyan1308_v_repetition_repetition_minimal	morphosyntactic	repetition	repetition	minimal	NA	8	15	5	0.09	8	0.42	19	19	57	nyan1308_verbal	NA	SubspanRepetition-Coordination-Minimal
54	Chichewa	nyan1308	nyan1308_v_segmental_segmental_maximal	phonological	segmental	segmental	maximal	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	Segmental-muContraction-Maximal
55	Chichewa	nyan1308	nyan1308_v_segmental_segmental_minimal	phonological	segmental	segmental	minimal	NA	7	15	4	0.07	9	0.47	19	19	57	nyan1308_verbal	NA	Segmental-muContraction-Minimal
4	Chichewa	nyan1308	nyan1308_v_freeoccurrence_morsynminimality_maximal	length	freeoccurrence	morsynminimality	maximal	NA	7	16	1	0.02	10	0.53	19	19	57	nyan1308_verbal	NA	FreeOccurrence-Maximal-AFF/IMP_2pl
5	Chichewa	nyan1308	nyan1308_v_freeoccurrence_morsynminimality_maximal	length	freeoccurrence	morsynminimality	maximal	NA	5	16	1	0.02	12	0.63	19	19	57	nyan1308_verbal	NA	FreeOccurrence-Maximal-AFF/2pOBJ
8	Chichewa	nyan1308	nyan1308_v_freeoccurrence_morsynminimality_minimal	length	freeoccurrence	morsynminimality	minimal	NA	8	16	1	0.02	9	0.47	19	19	57	nyan1308_verbal	NA	FreeOccurrence-Minimal-AFF/IMP_2pl
11	Chichewa	nyan1308	nyan1308_v_interruptability_interruptability	morphosyntactic	interruptability	interruptability	NA	NA	4	17	6	0.11	14	0.74	19	19	57	nyan1308_verbal	NA	NonInterruptibility-OM
14	Chichewa	nyan1308	nyan1308_v_permutability_permutability	morphosyntactic	permutability	permutability	NA	NA	4	17	6	0.11	14	0.74	19	19	57	nyan1308_verbal	NA	NonPermutability-Scopal-OM
15	Chichewa	nyan1308	nyan1308_v_prosodic_prosodic	phonological	prosodic	prosodic	NA	NA	8	17	2	0.04	10	0.53	19	19	57	nyan1308_verbal	NA	Prosodic-PenultimateLengthening-OM
20	Chichewa	nyan1308	nyan1308_v_prosodic_tonological	phonological	prosodic	tonological	NA	NA	4	17	6	0.11	14	0.74	19	19	57	nyan1308_verbal	NA	Tonal-EncliticToneShift
22	Chichewa	nyan1308	nyan1308_v_prosodic_tonological	phonological	prosodic	tonological	NA	NA	4	17	6	0.11	14	0.74	19	19	57	nyan1308_verbal	NA	Tonal-Plateauing
23	Chichewa	nyan1308	nyan1308_v_prosodic_tonological	phonological	prosodic	tonological	NA	NA	4	17	6	0.11	14	0.74	19	19	57	nyan1308_verbal	NA	Tonal-FinalRetraction
56	Chichewa	nyan1308	nyan1308_v_selection_ciscategorial_maximal	morphosyntactic	selection	ciscategorial	maximal	NA	4	17	6	0.11	14	0.74	19	19	57	nyan1308_verbal	NA	Ciscategorial-Maximal
57	Chichewa	nyan1308	nyan1308_v_selection_ciscategorial_minimal	morphosyntactic	selection	ciscategorial	minimal	NA	8	17	2	0.04	10	0.53	19	19	57	nyan1308_verbal	NA	Cicategorial-Minimal
10	Chichewa	nyan1308	nyan1308_v_interruptability_interruptability	morphosyntactic	interruptability	interruptability	NA	NA	4	18	1	0.02	15	0.79	19	19	57	nyan1308_verbal	NA	NonInterruptibility-noOM
12	Chichewa	nyan1308	nyan1308_v_permutability_permutability	morphosyntactic	permutability	permutability	NA	NA	3	18	1	0.02	16	0.84	19	19	57	nyan1308_verbal	NA	NonPermutability-Scopal-noOM
16	Chichewa	nyan1308	nyan1308_v_prosodic_prosodic	phonological	prosodic	prosodic	NA	NA	8	18	1	0.02	11	0.58	19	19	57	nyan1308_verbal	NA	Prosodic-PenultimateLengthening-noOM
43	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	2	19	2	0.04	18	0.95	19	19	57	nyan1308_verbal	NA	Intonation-DeclarativeContentQuestion
44	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	2	19	2	0.04	18	0.95	19	19	57	nyan1308_verbal	NA	Intonation-YesNoQuestion-Minimal
45	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	1	19	2	0.04	19	1	19	19	57	nyan1308_verbal	NA	Intonation-YesNoQuestion-Maximal
47	Chichewa	nyan1308	nyan1308_v_repetition_repetition_maximal	morphosyntactic	repetition	repetition	maximal	NA	1	19	2	0.04	19	1	19	19	57	nyan1308_verbal	NA	SubspanRepetition-Coordination-Maximal
