Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
cent2127	NA	verbal	constituency	Deviations	Indeterminate	Extended.exponence	NA	Nonbiunique marking of Mood and person/number of S/A/O	11	16	Extend. Exp.	indeterminate	NA
yucu1253	NA	verbal	constituency	Deviations	Indeterminate	Extended.exponence	Maximal	negation	4	12	Extend. Exp. Max.	indeterminate	NA
yucu1253	NA	verbal	constituency	Deviations	Indeterminate	Extended.exponence	NA	middle	10	17	Extend. Exp. Middle	indeterminate	NA
yucu1253	NA	verbal	constituency	Deviations	Indeterminate	Extended.exponence	Minimal	negation	6	12	Extend. Exp. Min.	indeterminate	NA
arao1248	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	4	17	Free Ocurr. Max.	indeterminate	NA
cent2127	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	2	20	Free Ocurr. Max.	indeterminate	NA
hupd1244	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	5	15	Free Ocurr. Max.	indeterminate	NA
hupd1244	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	2	30	Free Ocurr. Max.	indeterminate	NA
moco1246	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	4	18	Free Ocurr. Max.	indeterminate	NA
yucu1253	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	8	10	Free Ocurr. Max.	indeterminate	NA
zenz1235	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	7	17	Free Ocurr. Max. (sa- 	indeterminate	NA
dura0000	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	causative as bound form	11	27	Free Ocurr. Max. (sa- bound)	indeterminate	NA
dura0000	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	causative as free form	14	27	Free Ocurr. Max. (sa- free)	indeterminate	NA
arao1248	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	6	6	Free Ocurr. Min.	indeterminate	NA
cent2127	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	2	16	Free Ocurr. Min.	indeterminate	NA
dura0000	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	17	17	Free Ocurr. Min.	indeterminate	NA
hupd1244	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	5	5	Free Ocurr. Min.	indeterminate	NA
hupd1244	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	6	20	Free Ocurr. Min.	indeterminate	NA
moco1246	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	6	7	Free Ocurr. Min.	indeterminate	NA
yucu1253	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	9	10	Free Ocurr. Min.	indeterminate	NA
zenz1235	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	10	13	Free Ocurr. Min.	indeterminate	NA
sout2991		verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	12	40	Min Free Form Max.	indeterminate	
teot1238	NA	nominal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	6	9	Min Free Form Max.	indeterminate	NA
teot1238	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	4	22	Min Free Form Max.	indeterminate	NA
cher1273	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	2	23	Min Free Form Max.	indeterminate	NA
ayau1235	NA	verbal	constituency	Free.occurrence	Indeterminate	NA	Maximal	NA	15	28	Min Free Form Max.	indeterminate	NA
sout2991		verbal	constituency	Free.occurrence	Indeterminate	NA	Minimal	NA	12	26	Min Free Form Min.	indeterminate	
