family_id	family_number	n_spans	newick
family_015	15	11	(1,2,3,4,5,((6,((((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;
family_016	16	10	(((1,2,3,4,5,(6,((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;
family_017	17	10	((1,2,3,4,5,((6,((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;
family_018	18	10	(1,2,3,4,5,(((6,((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;
family_019	19	9	(((1,2,3,4,5,((6,(((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24)1-24,25,26,27)1-27,28)1-28;
family_020	20	9	((1,2,3,4,5,(((6,(((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27)1-27,28)1-28;
family_021	21	9	((1,2,3,4,5,(6,(((7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;
family_022	22	9	(1,2,3,4,5,((((6,(((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27,28)6-28)1-28;
family_023	23	9	(1,2,3,4,5,((6,(((7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;
family_024	24	8	(((1,2,3,4,5,((6,(7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17)6-17,18,19,20,21,22,23,24)6-24)1-24,25,26,27)1-27,28)1-28;
family_025	25	8	(((1,2,3,4,5,(6,(7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;
family_026	26	8	((1,2,3,4,5,(((6,(7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27)1-27,28)1-28;
family_027	27	8	((1,2,3,4,5,((6,(7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;
family_028	28	8	(1,2,3,4,5,((((6,(7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27,28)6-28)1-28;
family_029	29	8	(1,2,3,4,5,(((6,(7,(((8,9,10,11,12)8-12,13,14,15,16)8-16,17,18,19,20,21,22,23,24)8-24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;
