dataset	span_id	convergence_rank	left	right	relative_left	relative_right	size	relative_size	contains_root	convergence	share_of_tests	domain_types
dura0000_verbal	2-28	1	2	28	-15	11	27	0.931	y	1	0.037	morphosyntactic
dura0000_verbal	1-28	1	1	28	-16	11	28	0.9655	y	1	0.037	phonological
dura0000_verbal	1-29	1	1	29	-16	12	29	1.0	y	1	0.037	morphosyntactic
hupd1244_nominal	5-15	1	5	15	0	10	11	0.7333	y	3	0.25	indeterminate|morphosyntactic|phonological
hupd1244_nominal	1-15	2	1	15	-4	10	15	1.0	y	2	0.1667	morphosyntactic
hupd1244_nominal	5-6	3	5	6	0	1	2	0.1333	y	1	0.0833	morphosyntactic
hupd1244_nominal	8-11	3	8	11	3	6	4	0.2667	n	1	0.0833	morphosyntactic
hupd1244_nominal	5-12	3	5	12	0	7	8	0.5333	y	1	0.0833	phonological
hupd1244_nominal	1-13	3	1	13	-4	8	13	0.8667	y	1	0.0833	morphosyntactic
hupd1244_nominal	1-14	3	1	14	-4	9	14	0.9333	y	1	0.0833	morphosyntactic
hupd1244_verbal	6-20	1	6	20	0	14	15	0.4688	y	3	0.2	indeterminate|phonological
hupd1244_verbal	3-10	2	3	10	-3	4	8	0.25	y	2	0.1333	morphosyntactic
hupd1244_verbal	2-30	2	2	30	-4	24	29	0.9062	y	2	0.1333	indeterminate|morphosyntactic
hupd1244_verbal	7-10	3	7	10	1	4	4	0.125	n	1	0.0667	morphosyntactic
hupd1244_verbal	2-10	3	2	10	-4	4	9	0.2812	y	1	0.0667	morphosyntactic
hupd1244_verbal	2-18	3	2	18	-4	12	17	0.5312	y	1	0.0667	morphosyntactic
hupd1244_verbal	3-26	3	3	26	-3	20	24	0.75	y	1	0.0667	phonological
hupd1244_verbal	2-26	3	2	26	-4	20	25	0.7812	y	1	0.0667	phonological
hupd1244_verbal	2-32	3	2	32	-4	26	31	0.9688	y	1	0.0667	phonological
hupd1244_verbal	1-32	3	1	32	-5	26	32	1.0	y	1	0.0667	morphosyntactic
iyoj1235_verbal	14-16	1	14	16	-2	0	3	0.0652	y	2	0.0714	phonological
iyoj1235_verbal	14-18	1	14	18	-2	2	5	0.1087	y	2	0.0714	indeterminate|phonological
iyoj1235_verbal	14-22	1	14	22	-2	6	9	0.1957	y	2	0.0714	morphosyntactic
iyoj1235_verbal	16-34	1	16	34	0	18	19	0.413	y	2	0.0714	phonological
iyoj1235_verbal	14-40	1	14	40	-2	24	27	0.587	y	2	0.0714	phonological
iyoj1235_verbal	4-40	1	4	40	-12	24	37	0.8043	y	2	0.0714	indeterminate|phonological
iyoj1235_verbal	15-16	2	15	16	-1	0	2	0.0435	y	1	0.0357	phonological
iyoj1235_verbal	16-18	2	16	18	0	2	3	0.0652	y	1	0.0357	indeterminate
iyoj1235_verbal	14-20	2	14	20	-2	4	7	0.1522	y	1	0.0357	morphosyntactic
iyoj1235_verbal	14-23	2	14	23	-2	7	10	0.2174	y	1	0.0357	morphosyntactic
iyoj1235_verbal	14-29	2	14	29	-2	13	16	0.3478	y	1	0.0357	indeterminate
iyoj1235_verbal	16-32	2	16	32	0	16	17	0.3696	y	1	0.0357	phonological
iyoj1235_verbal	14-37	2	14	37	-2	21	24	0.5217	y	1	0.0357	morphosyntactic
iyoj1235_verbal	14-38	2	14	38	-2	22	25	0.5435	y	1	0.0357	morphosyntactic
iyoj1235_verbal	14-39	2	14	39	-2	23	26	0.5652	y	1	0.0357	morphosyntactic
iyoj1235_verbal	16-44	2	16	44	0	28	29	0.6304	y	1	0.0357	phonological
iyoj1235_verbal	8-38	2	8	38	-8	22	31	0.6739	y	1	0.0357	indeterminate
iyoj1235_verbal	8-39	2	8	39	-8	23	32	0.6957	y	1	0.0357	morphosyntactic
iyoj1235_verbal	8-40	2	8	40	-8	24	33	0.7174	y	1	0.0357	morphosyntactic
iyoj1235_verbal	14-46	2	14	46	-2	30	33	0.7174	y	1	0.0357	phonological
iyoj1235_verbal	7-41	2	7	41	-9	25	35	0.7609	y	1	0.0357	morphosyntactic
kaya1330_verbal	13-15	1	13	15	-2	0	3	0.0938	y	3	0.2	indeterminate
kaya1330_verbal	12-15	1	12	15	-3	0	4	0.125	y	3	0.2	morphosyntactic|phonological
kaya1330_verbal	10-15	2	10	15	-5	0	6	0.1875	y	2	0.1333	indeterminate
kaya1330_verbal	11-16	3	11	16	-4	1	6	0.1875	y	1	0.0667	indeterminate
kaya1330_verbal	5-15	3	5	15	-10	0	11	0.3438	y	1	0.0667	morphosyntactic
kaya1330_verbal	12-22	3	12	22	-3	7	11	0.3438	y	1	0.0667	morphosyntactic
kaya1330_verbal	4-15	3	4	15	-11	0	12	0.375	y	1	0.0667	indeterminate
kaya1330_verbal	9-21	3	9	21	-6	6	13	0.4062	y	1	0.0667	indeterminate
kaya1330_verbal	3-21	3	3	21	-12	6	19	0.5938	y	1	0.0667	indeterminate
kaya1330_verbal	4-22	3	4	22	-11	7	19	0.5938	y	1	0.0667	morphosyntactic
kiow1266_verbal	29-33	1	29	33	0	4	5	0.1282	y	2	0.1176	morphosyntactic|phonological
kiow1266_verbal	29-36	1	29	36	0	7	8	0.2051	y	2	0.1176	morphosyntactic|phonological
kiow1266_verbal	26-36	1	26	36	-3	7	11	0.2821	y	2	0.1176	phonological
kiow1266_verbal	25-36	1	25	36	-4	7	12	0.3077	y	2	0.1176	indeterminate|phonological
kiow1266_verbal	1-39	1	1	39	-28	10	39	1.0	y	2	0.1176	indeterminate|morphosyntactic
kiow1266_verbal	29-30	2	29	30	0	1	2	0.0513	y	1	0.0588	phonological
kiow1266_verbal	29-31	2	29	31	0	2	3	0.0769	y	1	0.0588	phonological
kiow1266_verbal	30-33	2	30	33	1	4	4	0.1026	n	1	0.0588	phonological
kiow1266_verbal	25-30	2	25	30	-4	1	6	0.1538	y	1	0.0588	indeterminate
kiow1266_verbal	29-34	2	29	34	0	5	6	0.1538	y	1	0.0588	indeterminate
kiow1266_verbal	25-33	2	25	33	-4	4	9	0.2308	y	1	0.0588	phonological
kiow1266_verbal	23-36	2	23	36	-6	7	14	0.359	y	1	0.0588	morphosyntactic
mart1259_verbal	17-20	1	17	20	-1	2	4	0.1481	y	4	0.3333	indeterminate|morphosyntactic|phonological
mart1259_verbal	17-18	2	17	18	-1	0	2	0.0741	y	1	0.0833	morphosyntactic
mart1259_verbal	18-19	2	18	19	0	1	2	0.0741	y	1	0.0833	indeterminate
mart1259_verbal	18-20	2	18	20	0	2	3	0.1111	y	1	0.0833	indeterminate
mart1259_verbal	4-25	2	4	25	-14	7	22	0.8148	y	1	0.0833	morphosyntactic
mart1259_verbal	3-25	2	3	25	-15	7	23	0.8519	y	1	0.0833	morphosyntactic
mart1259_verbal	4-27	2	4	27	-14	9	24	0.8889	y	1	0.0833	morphosyntactic
mart1259_verbal	2-26	2	2	26	-16	8	25	0.9259	y	1	0.0833	morphosyntactic
moco1246_verbal	6-7	1	6	7	-1	0	2	0.1	y	5	0.2273	indeterminate|phonological
moco1246_verbal	4-18	2	4	18	-3	11	15	0.75	y	4	0.1818	indeterminate|morphosyntactic|phonological
moco1246_verbal	7-11	3	7	11	0	4	5	0.25	y	3	0.1364	morphosyntactic|phonological
nyan1308	6-17	1	6	17	-4	7	12	0.5455	y	19	0.2	intonational|phonological|tonosegmental
nyan1308	5-17	2	5	17	-5	7	13	0.5909	y	10	0.1053	length|morphosyntactic|tonosegmental
nyan1308	8-17	3	8	17	-2	7	10	0.4545	y	8	0.0842	tonosegmental
siks1238_verbal	3-13	1	3	13	-3	7	11	0.7857	y	4	0.125	indeterminate|morphosyntactic|phonological
siks1238_verbal	6-7	2	6	7	0	1	2	0.1429	y	3	0.0938	morphosyntactic|phonological
siks1238_verbal	4-11	2	4	11	-2	5	8	0.5714	y	3	0.0938	indeterminate
siks1238_verbal	3-11	2	3	11	-3	5	9	0.6429	y	3	0.0938	morphosyntactic|phonological
siks1238_verbal	4-13	2	4	13	-2	7	10	0.7143	y	3	0.0938	indeterminate|morphosyntactic
siks1238_verbal	3-9	3	3	9	-3	3	7	0.5	y	2	0.0625	indeterminate
siks1238_verbal	1-11	3	1	11	-5	5	11	0.7857	y	2	0.0625	phonological
siks1238_verbal	1-13	3	1	13	-5	7	13	0.9286	y	2	0.0625	phonological
sout2991_verbal	12-18	1	12	18	0	6	7	0.1667	y	2	0.1	morphosyntactic
sout2991_verbal	12-21	1	12	21	0	9	10	0.2381	y	2	0.1	morphosyntactic
sout2991_verbal	12-26	1	12	26	0	14	15	0.3571	y	2	0.1	indeterminate|morphosyntactic
sout2991_verbal	12-41	1	12	41	0	29	30	0.7143	y	2	0.1	morphosyntactic|phonological
sout2991_verbal	12-13	2	12	13	0	1	2	0.0476	y	1	0.05	phonological
sout2991_verbal	12-15	2	12	15	0	3	4	0.0952	y	1	0.05	morphosyntactic
sout2991_verbal	12-22	2	12	22	0	10	11	0.2619	y	1	0.05	morphosyntactic
sout2991_verbal	12-25	2	12	25	0	13	14	0.3333	y	1	0.05	morphosyntactic
sout2991_verbal	12-29	2	12	29	0	17	18	0.4286	y	1	0.05	phonological
sout2991_verbal	1-22	2	1	22	-11	10	22	0.5238	y	1	0.05	morphosyntactic
sout2991_verbal	12-38	2	12	38	0	26	27	0.6429	y	1	0.05	phonological
sout2991_verbal	1-29	2	1	29	-11	17	29	0.6905	y	1	0.05	phonological
sout2991_verbal	12-40	2	12	40	0	28	29	0.6905	y	1	0.05	indeterminate
sout2991_verbal	2-41	2	2	41	-10	29	40	0.9524	y	1	0.05	morphosyntactic
sout2991_verbal	1-42	2	1	42	-11	30	42	1.0	y	1	0.05	morphosyntactic
teot1238_nominal	8-9	1	8	9	0	1	2	0.1	y	3	0.1667	phonological
teot1238_nominal	1-20	1	1	20	-7	12	20	1.0	y	3	0.1667	phonological
teot1238_nominal	8-11	2	8	11	0	3	4	0.2	y	2	0.1111	phonological
teot1238_nominal	7-8	3	7	8	-1	0	2	0.1	y	1	0.0556	morphosyntactic
teot1238_nominal	6-8	3	6	8	-2	0	3	0.15	y	1	0.0556	phonological
teot1238_nominal	6-9	3	6	9	-2	1	4	0.2	y	1	0.0556	indeterminate
teot1238_nominal	6-12	3	6	12	-2	4	7	0.35	y	1	0.0556	morphosyntactic
teot1238_nominal	1-9	3	1	9	-7	1	9	0.45	y	1	0.0556	morphosyntactic
teot1238_nominal	3-15	3	3	15	-5	7	13	0.65	y	1	0.0556	phonological
teot1238_nominal	8-20	3	8	20	0	12	13	0.65	y	1	0.0556	phonological
teot1238_nominal	6-20	3	6	20	-2	12	15	0.75	y	1	0.0556	morphosyntactic
teot1238_verbal	10-12	1	10	12	-2	0	3	0.1071	y	4	0.1905	indeterminate|morphosyntactic|phonological
teot1238_verbal	1-28	1	1	28	-11	16	28	1.0	y	4	0.1905	phonological
teot1238_verbal	10-15	2	10	15	-2	3	6	0.2143	y	3	0.1429	morphosyntactic|phonological
teot1238_verbal	3-15	3	3	15	-9	3	13	0.4643	y	2	0.0952	phonological
teot1238_verbal	4-22	3	4	22	-8	10	19	0.6786	y	2	0.0952	indeterminate|morphosyntactic
yucu1253_verbal	10-16	1	10	16	0	6	7	0.3333	y	4	0.1667	morphosyntactic|phonological
yucu1253_verbal	9-10	2	9	10	-1	0	2	0.0952	y	3	0.125	indeterminate|phonological
yucu1253_verbal	10-19	2	10	19	0	9	10	0.4762	y	3	0.125	morphosyntactic|phonological
yucu1253_verbal	10-13	3	10	13	0	3	4	0.1905	y	2	0.0833	indeterminate
yucu1253_verbal	8-21	3	8	21	-2	11	14	0.6667	y	2	0.0833	morphosyntactic
zenz1235_verbal	10-13	1	10	13	-3	0	4	0.1905	y	8	0.2857	indeterminate|phonological
zenz1235_verbal	7-13	2	7	13	-6	0	7	0.3333	y	5	0.1786	phonological
zenz1235_verbal	1-21	3	1	21	-12	8	21	1.0	y	3	0.1071	phonological
